-35.01878739169214,138.56924568376596,Flinders (start)
-35.00953579418565,138.56732652504024,Tonsley
-35.03243178440065,138.52171732543175,Seacliff
-34.9906289915929,138.56144597984073,Ascot Park
-35.00193272446337,138.56681815520304,Mitchell Park
-34.982192582938694,138.56736406571505,Woodlands Park
-34.97201744130239,138.57129420777542,Edwardstown
-34.9610541324628,138.58058898721637,Clarence Park
-34.95132053044826,138.5850539301113,Goodwood
-34.93799359561852,138.58108274431547,Parklands Terminal
-34.924876990753596,138.5802606745323,Mile End
-34.920866216111214,138.5967021864904,Adeliade Station (end)
